"username_1","username_2","timestamp_s"
"petrimv","TiloJung",1630263238
"petrimv","TiloJung",1630264098
"MATmaschke","TiloJung",1630260191
"spdde","hubertus_heil",1630263646
"FranziskaGiffey","hubertus_heil",1630270086
"hubertus_heil","hubertus_heil",1630261637
"MartinRosemann","hubertus_heil",1630267604
"Hallaschka_HH","hubertus_heil",1630265134
"IrisSpranger","hubertus_heil",1630270800
"AnkeRehlinger","hubertus_heil",1630276458
"ingeblask","hubertus_heil",1630263667
"MartinRosemann","hubertus_heil",1630263642
"philipp_fuer_DU","hubertus_heil",1630263844
"Hallaschka_HH","hubertus_heil",1630265280
"MichaelBroecker","hubertus_heil",1630260833
"BetMueller","hubertus_heil",1630263913
"borispistorius","hubertus_heil",1630268494
"ingeblask","hubertus_heil",1630267429
"W_Schmidt_","hubertus_heil",1630253973
"MartinRosemann","hubertus_heil",1630253900
"CarstenLoo","hubertus_heil",1630265217
"borispistorius","hubertus_heil",1630268623
"SteffiLemke","hubertus_heil",1630267858
"EvaLettenbauer","Gruene_Bayern",1630270754
"MFeldmayer","Gruene_Bayern",1630265019
"TKinderschutz","GrueneBW",1630265019
"Lambsdorff","tom_nuttall",1630273764
"Lambsdorff","tom_nuttall",1630273439
"Daniel_Sieveke","Wohli",1630266018
"claasrohmeyer","Wohli",1630259783
"bodoloettgen","Wohli",1630261143
"frederics","Wohli",1630259558
"Tine07603024","the4thpip",1630271132
"Ursel08151","fdp_nrw",1630261320
"RS_Eng_Brain","fdp_nrw",1630260488
"Dav_Pas","fdp_nrw",1630257414
"musikutiv","fdp_nrw",1630258437
"AnjaKofbinger","AndreasKemper",1630258002
"Muhterem_Aras","dgb_news",1630259425
"GRUENE_CB_SPN","SCHINOWSKY",1630270128
"KuehniKev","larsklingbeil",1630276745
"m_rinderspacher","larsklingbeil",1630266251
"JensZSPD","larsklingbeil",1630264034
"ingeblask","larsklingbeil",1630267799
"Fresenjong","larsklingbeil",1630269345
"ingeblask","larsklingbeil",1630263761
"Regendelfin","larsklingbeil",1630268814
"hubertus_heil","larsklingbeil",1630266469
"MartinRosemann","larsklingbeil",1630271911
"hubertus_heil","larsklingbeil",1630276831
"Marcruland","larsklingbeil",1630263728
"AnkeRehlinger","larsklingbeil",1630276440
"Marcruland","larsklingbeil",1630269152
"MartinRosemann","larsklingbeil",1630272799
"MartinRosemann","larsklingbeil",1630265742
"NancyFaeser","larsklingbeil",1630266226
"Timon_Gremmels","larsklingbeil",1630264036
"josefheynckes","larsklingbeil",1630272579
"BetMueller","larsklingbeil",1630263844
"StefanZimkeit","larsklingbeil",1630268272
"Alex_Schweitzer","larsklingbeil",1630266199
"MartinRosemann","larsklingbeil",1630269870
"MartinHaller","larsklingbeil",1630266188
"Marcruland","larsklingbeil",1630266725
"Marcruland","larsklingbeil",1630263993
"SvenjaSchulze68","larsklingbeil",1630263721
"Toens_NRW04","larsklingbeil",1630267218
"DirkWieseSPD","larsklingbeil",1630268007
